Roll, Pitch, Yaw
-0.652979,0.133847,-1.36834
-0.657036,0.145263,-1.35493
-0.658814,0.146837,-1.35322
-0.660599,0.144363,-1.35825
-0.649665,0.140064,-1.36195
-0.63891,0.132101,-1.37259
-0.629245,0.129907,-1.37056
-0.620018,0.132298,-1.36196
-0.623114,0.135705,-1.35984
-0.627472,0.136387,-1.36118
-0.63357,0.145691,-1.35048
-0.639202,0.149123,-1.34773
-0.641199,0.142586,-1.3578
-0.632824,0.146805,-1.34885
-0.626824,0.138438,-1.36061
-0.623015,0.138353,-1.35932
-0.623212,0.140258,-1.35524
-0.62427,0.147383,-1.34389
-0.631,0.151281,-1.34094
-0.640497,0.160174,-1.33253
-0.654456,0.160872,-1.33487
-0.653678,0.160092,-1.3359
-0.654332,0.160169,-1.33528
-0.649139,0.154951,-1.34194
-0.6388,0.148623,-1.34986
-0.634912,0.141516,-1.35786
-0.639082,0.142643,-1.35608
-0.645458,0.140363,-1.36024
-0.650445,0.142144,-1.35894
-0.657724,0.149708,-1.35103
-0.658936,0.150879,-1.34956
-0.654663,0.148128,-1.35275
-0.646585,0.136339,-1.37156
-0.637773,0.134426,-1.37153
-0.636007,0.128159,-1.37973
-0.636366,0.13125,-1.3753
-0.63878,0.12772,-1.3809
-0.643092,0.129745,-1.37777
-0.652793,0.132741,-1.37654
-0.659328,0.15006,-1.35656
-0.661602,0.153268,-1.35276
-0.659267,0.146502,-1.36173
-0.65162,0.14206,-1.36637
-0.640619,0.139279,-1.36583
-0.638206,0.142315,-1.36139
-0.638664,0.141984,-1.36089
-0.640055,0.14309,-1.35824
-0.643489,0.155107,-1.34323
-0.647701,0.162447,-1.33453
-0.646229,0.160449,-1.3356
-0.647721,0.149342,-1.35225
-0.638862,0.143347,-1.35999
-0.634603,0.138532,-1.36468
-0.627097,0.137069,-1.36505
-0.629588,0.137028,-1.36554
-0.638154,0.137629,-1.36699
-0.646818,0.136233,-1.37033
-0.65556,0.14155,-1.36482
-0.659973,0.145206,-1.36127
-0.660271,0.148665,-1.35702
-0.656558,0.147992,-1.35668
-0.645319,0.14094,-1.36431
-0.644514,0.142695,-1.36131
-0.647603,0.137086,-1.37082
-0.646174,0.141034,-1.36403
-0.652395,0.151191,-1.35315
-0.657013,0.155674,-1.34716
-0.665924,0.154623,-1.3501
-0.668988,0.148323,-1.36026
-0.665258,0.149592,-1.35671
-0.654059,0.146348,-1.3567
-0.64878,0.145817,-1.35506
-0.652123,0.153109,-1.34565
-0.653456,0.147152,-1.35236
-0.65473,0.14604,-1.35298
-0.663707,0.15534,-1.34445
-0.671701,0.155733,-1.34569
-0.681736,0.153319,-1.35207
-0.681321,0.160239,-1.34247
-0.674644,0.156439,-1.346
-0.664827,0.155919,-1.34331
-0.660828,0.150367,-1.3488
-0.659801,0.145738,-1.35496
-0.667017,0.143871,-1.35954
-0.666761,0.145434,-1.35697
-0.670082,0.150314,-1.35135
-0.67448,0.151594,-1.35109
-0.666082,0.151357,-1.34957
-0.658208,0.155879,-1.33802
-0.651492,0.14897,-1.34749
-0.64312,0.144413,-1.3524
-0.646954,0.140112,-1.3585
-0.650021,0.145869,-1.35144
-0.657692,0.14926,-1.3493
-0.663826,0.156374,-1.34191
-0.66432,0.157786,-1.34093
-0.662151,0.16046,-1.33588
-0.661787,0.159143,-1.33804
-0.658668,0.162387,-1.33285
-0.655115,0.155061,-1.34326
-0.646481,0.150117,-1.34786
-0.648207,0.151352,-1.34597
-0.651297,0.158427,-1.33769
-0.656797,0.162577,-1.33319
-0.660033,0.163132,-1.33338
-0.658793,0.159656,-1.33746
-0.65905,0.162249,-1.33402
-0.659003,0.16027,-1.33515
-0.662119,0.151116,-1.34903
-0.653189,0.153709,-1.34005
-0.654433,0.150804,-1.34369
-0.656734,0.15192,-1.34274
-0.65773,0.15359,-1.34118
-0.664457,0.156523,-1.33911
